station,boardings_all,alightings_all,throughput_all,days_all,boardings_weekday,alightings_weekday,throughput_weekday,days_weekday,boardings_weekend,alightings_weekend,throughput_weekend,days_weekend,boarding_share,weekend_ratio,first_active,active_days,growth_ratio,opened_mid_window,low_coverage,is_mature
Mahakavi Kuvempu Road,5447.083333333333,5323.229166666667,10770.3125,48,5841.382352941177,5760.323529411765,11601.70588235294,34,4489.5,4261.714285714285,8751.214285714286,14,0.5034934010718505,0.7543040975573717,2025-08-01,48,1.044577802506425,False,False,True
Vajarahalli,5356.604166666667,5393.666666666667,10750.270833333334,48,5695.14705882353,5780.617647058823,11475.764705882353,34,4534.428571428572,4453.928571428572,8988.357142857143,14,0.4962760395308784,0.7832469010322082,2025-08-01,48,1.0900075028988474,False,False,True
Doddakallasandra,5121.041666666667,5018.3125,10139.354166666666,48,5468.0,5419.411764705882,10887.411764705883,34,4278.428571428572,4044.214285714286,8322.642857142857,14,0.5022313951352345,0.7644280419449799,2025-08-01,48,1.0592060232717317,False,False,True
Delta Electronics Bommasandra,5302.708333333333,5270.895833333333,10573.604166666666,48,5408.294117647059,5383.235294117647,10791.529411764706,34,5046.285714285715,4998.071428571428,10044.357142857143,14,0.5011610413396127,0.9307630790411403,2025-08-11,38,3.32436614270141,True,True,False
Infosys Foundation Konappana Agrahara,5043.604166666667,4420.0625,9463.666666666666,48,5384.617647058823,4739.941176470588,10124.558823529413,34,4215.428571428572,3643.214285714286,7858.642857142857,14,0.5318372623353232,0.7761960786754895,2025-08-07,40,3.339914505144182,True,True,False
Jnanabharathi,4291.395833333333,4237.041666666667,8528.4375,48,4770.205882352941,4759.85294117647,9530.058823529413,34,3128.5714285714284,2967.3571428571427,6095.928571428572,14,0.5005431729944263,0.6396527748997642,2025-08-01,48,1.0619826264690855,False,False,True
Deepanjali Nagar,4435.625,5346.083333333333,9781.708333333334,48,4726.117647058823,5651.823529411765,10377.941176470587,34,3730.1428571428573,4603.571428571428,8333.714285714286,14,0.4554003117472014,0.8030219235207191,2025-08-01,48,1.0197210275865451,False,False,True
Peenya,4039.4583333333335,3553.9166666666665,7593.375,48,4490.441176470588,3974.5,8464.941176470587,34,2944.214285714286,2532.5,5476.714285714285,14,0.5304751778963754,0.646987872867626,2025-08-01,48,1.0680971161848247,False,False,True
Central Silk Board,3994.0625,3873.875,7867.9375,48,4315.823529411765,4145.35294117647,8461.176470588236,34,3212.6428571428573,3214.5714285714284,6427.214285714285,14,0.5100736929922136,0.7596123669156204,2025-08-11,38,3.4302503123120345,True,True,False
Chikkabidarakallu,4031.9166666666665,3789.9166666666665,7821.833333333333,48,4286.588235294118,4056.5882352941176,8343.176470588236,34,3413.4285714285716,3142.285714285714,6555.714285714285,14,0.5137837189954454,0.7857575959018489,2025-08-01,48,1.0124214860038354,False,False,True
Jayadeva Hospital,3763.0416666666665,3478.9791666666665,7242.020833333333,48,4218.411764705882,3901.529411764706,8119.941176470588,34,2657.1428571428573,2452.785714285714,5109.928571428572,14,0.5195126015111672,0.6293061070732598,2025-08-03,40,3.2442937324602434,True,True,False
Bommanahalli,3375.5208333333335,3375.7708333333335,6751.291666666667,48,3549.4117647058824,3557.9411764705883,7107.35294117647,34,2953.214285714286,2933.3571428571427,5886.571428571428,14,0.49939995861783576,0.8282368242144779,2025-08-11,38,3.371085796048649,True,True,False
Thalaghattapura,2867.125,2800.9791666666665,5668.104166666667,48,3058.1176470588234,2999.9411764705883,6058.058823529412,34,2403.285714285714,2317.785714285714,4721.071428571428,14,0.504801576898055,0.779304322736989,2025-08-01,48,1.0141497744957129,False,False,True
BTM Layout,2969.5625,3546.6041666666665,6516.166666666667,48,3052.176470588235,3694.205882352941,6746.382352941177,34,2768.9285714285716,3188.1428571428573,5957.071428571428,14,0.45241676366854566,0.8830023436152211,2025-08-11,38,3.759440837418842,True,True,False
Kudlu Gate,2847.0208333333335,2635.3125,5482.333333333333,48,3026.235294117647,2802.1176470588234,5828.35294117647,34,2411.785714285714,2230.214285714286,4642.0,14,0.5192264992632365,0.7964514240729901,2025-08-08,39,3.358715890850722,True,True,False
Electronic City,2872.0208333333335,2963.5625,5835.583333333333,48,2971.0,3002.823529411765,5973.823529411765,34,2631.6428571428573,2868.214285714286,5499.857142857143,14,0.4973364186893801,0.9206594596875726,2025-08-11,38,3.8075485008818344,True,True,False
Hopefarm Channasandra,2613.8333333333335,2592.9166666666665,5206.75,48,2924.8823529411766,2851.6176470588234,5776.5,34,1858.4285714285713,1964.642857142857,3823.0714285714284,14,0.5063416174052067,0.6618318062098898,2025-08-01,48,1.0095666854248735,False,False,True
Hosa Road,2783.1041666666665,2815.9791666666665,5599.083333333333,48,2790.8529411764707,2877.9411764705883,5668.794117647059,34,2764.285714285714,2665.5,5429.785714285715,14,0.4923186277816114,0.9578378754985463,2025-08-11,38,3.685193257773903,True,True,False
Peenya Industry,2254.6666666666665,2086.9375,4341.604166666667,48,2577.176470588235,2405.529411764706,4982.705882352941,34,1471.4285714285713,1313.2142857142858,2784.6428571428573,14,0.5172242816329422,0.5588615749938443,2025-08-01,48,1.0475342596419828,False,False,True
Hongasandra,2341.1875,2141.9375,4483.125,48,2559.470588235294,2354.8529411764707,4914.323529411765,34,1811.0714285714287,1624.857142857143,3435.9285714285716,14,0.5208184957537091,0.6991661315875647,2025-08-06,39,3.4486018748497718,True,True,False
Pantharapalya - Nayandahalli,2258.6041666666665,2181.75,4440.354166666667,48,2328.029411764706,2263.294117647059,4591.323529411765,34,2090.0,1983.7142857142858,4073.714285714286,14,0.5070497421607252,0.8872636092007669,2025-08-01,48,1.0254585096832116,False,False,True
Ragigudda,1952.5416666666667,1933.9375,3886.4791666666665,48,2092.3823529411766,2052.764705882353,4145.14705882353,34,1612.9285714285713,1645.357142857143,3258.285714285714,14,0.5047787987370064,0.7860482796020455,2025-08-06,42,2.5216351543232944,True,True,False
Huskur Road,1839.3541666666667,1625.2083333333333,3464.5625,48,1830.6764705882354,1658.0882352941176,3488.764705882353,34,1860.4285714285713,1545.357142857143,3405.785714285714,14,0.5247348631742231,0.9762153660128672,2025-08-09,39,4.150481296454246,True,True,False
Biocon Hebbagodi,1294.9791666666667,1062.0625,2357.0416666666665,48,1341.9117647058824,1084.5,2426.4117647058824,34,1181.0,1007.5714285714286,2188.5714285714284,14,0.5530437101505491,0.9019785761040093,2025-08-11,38,3.5571690614490983,True,True,False
Manjunathanagara,1224.0416666666667,1174.9166666666667,2398.9583333333335,48,1257.1176470588234,1238.235294117647,2495.3529411764707,34,1143.7142857142858,1021.1428571428571,2164.8571428571427,14,0.5037835034534782,0.867555489700182,2025-08-01,48,0.9707353533030529,False,False,True
Singasandra,1162.3333333333333,1140.9166666666667,2303.25,48,1215.8823529411766,1205.3823529411766,2421.264705882353,34,1032.2857142857142,984.3571428571429,2016.642857142857,14,0.5021682883276849,0.8328882225241686,2025-08-11,38,4.058954393770857,True,True,False
Beratena Agrahara,594.125,527.375,1121.5,48,638.1764705882352,569.4411764705883,1207.6176470588234,34,487.14285714285717,425.2142857142857,912.3571428571429,14,0.5284590467376215,0.7555016648516247,2025-08-11,38,4.104882459312839,True,True,False
